Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Team
288,Vince Williams Jr.,24.0,27,5,499,67,167,0.401,26,95,0.274,41,72,0.569,0.479,19,24,0.792,22,76,98,55,12,7,33,45,179,0,,willivi01,Memphis Grizzlies
289,GG Jackson II,20.0,29,3,459,74,199,0.372,32,95,0.337,42,104,0.404,0.452,29,40,0.725,27,65,92,29,12,5,31,30,209,0,,jacksgg01,Memphis Grizzlies
290,Marcus Smart,30.0,19,6,400,53,148,0.358,29,90,0.322,24,58,0.414,0.456,30,36,0.833,14,29,43,71,23,6,35,31,165,0,,smartma01,Memphis Grizzlies
291,Cam Spencer,24.0,25,1,252,34,82,0.415,19,52,0.365,15,30,0.5,0.53,19,19,1.0,12,18,30,34,9,1,6,23,106,0,,spencca01,Memphis Grizzlies
292,Lamar Stevens,27.0,17,1,155,29,63,0.46,8,27,0.296,21,36,0.583,0.524,8,11,0.727,4,34,38,8,5,3,10,15,74,0,,stevela01,Memphis Grizzlies
293,Marvin Bagley III,25.0,12,1,99,17,35,0.486,1,9,0.111,16,26,0.615,0.5,8,12,0.667,11,17,28,4,2,3,1,6,43,0,,baglema01,Memphis Grizzlies
294,Yuki Kawamura,23.0,22,0,93,11,30,0.367,7,23,0.304,4,7,0.571,0.483,7,9,0.778,0,12,12,19,2,0,5,8,36,0,,kawamyu01,Memphis Grizzlies
295,Colin Castleton,24.0,10,0,46,2,10,0.2,0,4,0.0,2,6,0.333,0.2,10,11,0.909,3,6,9,0,1,1,1,6,14,0,,castlco01,Memphis Grizzlies
296,Zyon Pullin,23.0,3,0,3,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,,pullizy01,Memphis Grizzlies
297,Team Totals,,82,82,19706,3670,7654,0.479,1141,3106,0.367,2529,4548,0.556,0.554,1499,1908,0.786,1056,2819,3875,2330,726,462,1227,1711,9980,3,,-9999,Memphis Grizzlies
298,Jayson Tatum,26.0,72,72,2624,662,1465,0.452,250,728,0.343,412,737,0.559,0.537,358,440,0.814,48,575,623,431,76,38,209,157,1932,2,MVP-4CPOY-10ASNBA1,tatumja01,Boston Celtics
299,Derrick White,30.0,76,76,2574,424,959,0.442,265,691,0.384,159,268,0.593,0.58,135,161,0.839,67,274,341,361,72,80,131,138,1248,0,DPOY-10,whitede01,Boston Celtics
300,Payton Pritchard,27.0,80,3,2271,409,866,0.472,255,626,0.407,154,240,0.642,0.62,71,84,0.845,102,205,307,279,70,14,83,118,1144,0,6MOY-1,pritcpa01,Boston Celtics
301,Jaylen Brown,28.0,63,63,2158,518,1118,0.463,116,358,0.324,402,760,0.529,0.515,246,322,0.764,82,286,368,286,73,19,162,154,1398,0,AS,brownja02,Boston Celtics
302,Jrue Holiday,34.0,62,62,1896,254,573,0.443,108,306,0.353,146,267,0.547,0.538,70,77,0.909,76,189,265,239,66,27,77,101,686,0,,holidjr01,Boston Celtics
303,Al Horford,38.0,60,42,1659,195,461,0.423,114,314,0.363,81,147,0.551,0.547,34,38,0.895,79,290,369,128,36,51,46,81,538,0,,horfoal01,Boston Celtics
304,Sam Hauser,27.0,71,19,1541,214,474,0.451,166,399,0.416,48,75,0.64,0.627,11,11,1.0,44,180,224,64,41,13,23,87,605,0,,hausesa01,Boston Celtics
305,Luke Kornet,29.0,73,16,1361,187,280,0.668,0,3,0.0,187,277,0.675,0.668,67,97,0.691,190,198,388,117,36,71,31,119,441,0,,kornelu01,Boston Celtics
306,Kristaps Porziņģis,29.0,42,42,1210,277,574,0.483,103,250,0.412,174,324,0.537,0.572,161,199,0.809,68,216,284,87,31,63,53,116,818,0,,porzikr01,Boston Celtics
307,Neemias Queta,25.0,62,6,863,132,203,0.65,0,3,0.0,132,200,0.66,0.65,46,61,0.754,89,147,236,45,18,42,40,106,310,0,,quetane01,Boston Celtics
308,Jordan Walsh,20.0,52,1,403,30,83,0.361,15,55,0.273,15,28,0.536,0.452,7,12,0.583,23,46,69,19,12,11,17,30,82,0,,walshjo01,Boston Celtics
309,Baylor Scheierman,24.0,31,2,384,39,110,0.355,26,82,0.317,13,28,0.464,0.473,9,12,0.75,19,46,65,33,17,2,12,22,113,0,,scheiba01,Boston Celtics
310,Xavier Tillman Sr.,26.0,33,2,231,13,53,0.245,5,32,0.156,8,21,0.381,0.292,3,4,0.75,10,33,43,7,11,5,14,18,34,0,,tillmxa01,Boston Celtics
311,Torrey Craig,34.0,17,3,201,16,45,0.356,9,31,0.29,7,14,0.5,0.456,5,8,0.625,19,29,48,12,6,11,8,19,46,0,,craigto01,Boston Celtics
312,Drew Peterson,25.0,25,1,186,17,41,0.415,13,33,0.394,4,8,0.5,0.573,7,9,0.778,9,31,40,13,5,2,8,18,54,0,,peterdr01,Boston Celtics
313,Jaden Springer,22.0,26,0,141,12,34,0.353,6,19,0.316,6,15,0.4,0.441,15,21,0.714,4,20,24,10,12,1,4,17,45,0,,sprinja01,Boston Celtics
314,JD Davison,22.0,16,0,93,12,34,0.353,4,18,0.222,8,16,0.5,0.412,5,7,0.714,2,11,13,13,5,1,13,2,33,0,,davisjd01,Boston Celtics
315,Miles Norris,24.0,3,0,35,2,9,0.222,2,7,0.286,0,2,0.0,0.333,1,2,0.5,2,7,9,0,2,1,0,0,7,0,,norrimi01,Boston Celtics
316,Team Totals,,82,82,19831,3413,7382,0.462,1457,3955,0.368,1956,3427,0.571,0.561,1251,1565,0.799,933,2783,3716,2144,589,452,931,1303,9534,2,,-9999,Boston Celtics
317,Cade Cunningham,23.0,70,70,2452,684,1457,0.469,149,418,0.356,535,1039,0.515,0.521,313,370,0.846,56,369,425,638,71,53,309,195,1830,9,MVP-7ASNBA3,cunnica01,Detroit Pistons
318,Tobias Harris,32.0,73,73,2305,384,805,0.477,91,264,0.345,293,541,0.542,0.534,143,166,0.861,65,367,432,162,74,57,85,138,1002,0,,harrito02,Detroit Pistons
319,Malik Beasley,28.0,82,18,2283,461,1071,0.43,319,766,0.416,142,305,0.466,0.579,95,140,0.679,47,167,214,139,73,5,83,125,1336,0,6MOY-2,beaslma01,Detroit Pistons
320,Tim Hardaway Jr.,32.0,77,77,2153,276,680,0.406,168,457,0.368,108,223,0.484,0.529,124,145,0.855,18,165,183,123,38,7,48,96,844,0,,hardati02,Detroit Pistons
321,Jalen Duren,21.0,78,78,2034,378,546,0.692,0,0,,378,546,0.692,0.692,162,242,0.669,277,530,807,209,54,89,136,251,918,0,,durenja01,Detroit Pistons
322,Isaiah Stewart,23.0,72,4,1434,176,315,0.559,17,53,0.321,159,262,0.607,0.586,66,87,0.759,130,269,399,123,28,101,68,183,435,0,,stewais01,Detroit Pistons
323,Ausar Thompson,22.0,59,48,1328,246,460,0.535,11,49,0.224,235,411,0.572,0.547,91,142,0.641,111,192,303,134,98,40,80,164,594,0,,thompau01,Detroit Pistons
324,Ron Holland,19.0,81,2,1266,197,416,0.474,36,151,0.238,161,265,0.608,0.517,92,122,0.754,40,178,218,82,49,17,72,141,522,0,,hollaro01,Detroit Pistons
325,Simone Fontecchio,29.0,75,0,1237,150,373,0.402,76,227,0.335,74,146,0.507,0.504,70,84,0.833,52,163,215,65,31,12,54,95,446,0,,fontesi01,Detroit Pistons
326,Jaden Ivey,22.0,30,30,898,190,413,0.46,63,154,0.409,127,259,0.49,0.536,85,116,0.733,40,84,124,119,28,11,89,67,528,0,,iveyja01,Detroit Pistons
327,Marcus Sasser,24.0,57,1,811,137,296,0.463,58,152,0.382,79,144,0.549,0.561,43,51,0.843,18,51,69,133,37,4,54,72,375,0,,sassema01,Detroit Pistons
328,Dennis Schröder,31.0,28,8,705,95,251,0.378,32,106,0.302,63,145,0.434,0.442,80,96,0.833,13,61,74,147,15,5,35,57,302,0,,schrode01,Detroit Pistons
329,Paul Reed,25.0,45,0,438,72,142,0.507,8,28,0.286,64,114,0.561,0.535,32,42,0.762,40,83,123,44,39,25,26,75,184,0,,reedpa01,Detroit Pistons
330,Wendell Moore Jr.,23.0,20,1,219,23,50,0.46,4,14,0.286,19,36,0.528,0.5,13,14,0.929,11,33,44,23,10,3,9,15,63,0,,moorewe01,Detroit Pistons
331,Lindy Waters III,27.0,14,0,123,16,44,0.364,15,38,0.395,1,6,0.167,0.534,0,0,,4,10,14,10,5,1,3,7,47,0,,waterli01,Detroit Pistons
332,Bobi Klintman,21.0,8,0,42,6,10,0.6,2,5,0.4,4,5,0.8,0.7,1,2,0.5,1,6,7,7,2,1,1,8,15,0,,klintbo01,Detroit Pistons
333,Daniss Jenkins,23.0,7,0,23,3,10,0.3,1,7,0.143,2,3,0.667,0.35,0,2,0.0,0,2,2,3,0,0,1,2,7,0,,jenkida01,Detroit Pistons
334,Tolu Smith,24.0,1,0,22,6,9,0.667,0,0,,6,9,0.667,0.667,2,3,0.667,4,4,8,0,0,0,2,3,14,0,,smithto05,Detroit Pistons
335,Ron Harper Jr.,24.0,1,0,17,1,8,0.125,0,6,0.0,1,2,0.5,0.125,2,2,1.0,4,3,7,2,0,0,0,0,4,0,,harpero02,Detroit Pistons
336,Cole Swider,25.0,2,0,13,0,5,0.0,0,5,0.0,0,0,,0.0,0,0,,0,2,2,1,0,0,0,1,0,0,,swideco01,Detroit Pistons
337,Alondes Williams,25.0,1,0,4,2,2,1.0,1,1,1.0,1,1,1.0,1.25,0,0,,0,0,0,1,0,0,0,0,5,0,,willial06,Detroit Pistons
338,Team Totals,,82,82,19807,3503,7363,0.476,1051,2901,0.362,2452,4462,0.55,0.547,1414,1826,0.774,931,2739,3670,2165,652,431,1155,1695,9471,9,,-9999,Detroit Pistons
339,Brook Lopez,36.0,80,80,2546,394,774,0.509,139,373,0.373,255,401,0.636,0.599,114,138,0.826,113,288,401,143,50,148,84,171,1041,0,,lopezbr01,Milwaukee Bucks
340,Giannis Antetokounmpo,30.0,67,67,2289,793,1319,0.601,14,63,0.222,779,1256,0.62,0.607,436,707,0.617,147,651,798,433,58,78,206,155,2036,11,MVP-3DPOY-8ASNBA1,antetgi01,Milwaukee Bucks
341,Taurean Prince,30.0,80,73,2166,235,514,0.457,147,335,0.439,88,179,0.492,0.6,39,48,0.813,34,253,287,155,76,15,82,165,656,0,,princta02,Milwaukee Bucks
342,Damian Lillard,34.0,58,58,2093,444,992,0.448,197,524,0.376,247,468,0.528,0.547,362,393,0.921,29,243,272,410,70,10,162,97,1447,2,AS,lillada01,Milwaukee Bucks
343,Gary Trent Jr.,26.0,74,9,1893,283,657,0.431,180,433,0.416,103,224,0.46,0.568,78,92,0.848,20,148,168,87,72,4,42,124,824,0,,trentga02,Milwaukee Bucks
344,A.J. Green,25.0,73,7,1659,182,424,0.429,155,363,0.427,27,61,0.443,0.612,22,27,0.815,18,156,174,108,37,7,40,157,541,0,,greenaj01,Milwaukee Bucks
345,Bobby Portis,29.0,49,7,1244,277,595,0.466,65,178,0.365,212,417,0.508,0.52,61,73,0.836,90,321,411,104,35,26,57,94,680,0,,portibo01,Milwaukee Bucks
346,Kyle Kuzma,29.0,33,32,1049,179,393,0.455,51,153,0.333,128,240,0.533,0.52,69,104,0.663,27,158,185,73,16,12,73,67,478,0,,kuzmaky01,Milwaukee Bucks
347,Andre Jackson Jr.,23.0,67,43,980,94,197,0.477,30,76,0.395,64,121,0.529,0.553,12,24,0.5,65,117,182,83,34,14,58,114,230,0,,jacksan01,Milwaukee Bucks
348,Ryan Rollins,22.0,56,19,820,132,271,0.487,49,120,0.408,83,151,0.55,0.577,36,45,0.8,21,87,108,104,42,17,53,88,349,0,,rolliry01,Milwaukee Bucks
349,Pat Connaughton,32.0,41,1,603,83,177,0.469,26,81,0.321,57,96,0.594,0.542,24,31,0.774,19,90,109,70,9,11,24,45,216,0,,connapa01,Milwaukee Bucks
350,Kevin Porter Jr.,24.0,30,2,598,121,245,0.494,29,71,0.408,92,174,0.529,0.553,81,93,0.871,13,105,118,112,38,2,52,49,352,1,,porteke02,Milwaukee Bucks
351,Khris Middleton,33.0,23,7,534,108,211,0.512,35,86,0.407,73,125,0.584,0.595,39,46,0.848,5,80,85,102,17,5,37,52,290,0,,middlkh01,Milwaukee Bucks
352,Delon Wright,32.0,26,2,405,22,82,0.268,12,49,0.245,10,33,0.303,0.341,9,16,0.563,15,31,46,48,23,9,14,17,65,0,,wrighde01,Milwaukee Bucks
353,Jericho Sims,26.0,14,0,210,17,25,0.68,0,0,,17,25,0.68,0.68,0,0,,20,48,68,11,2,9,12,19,34,0,,simsje01,Milwaukee Bucks
354,Tyler Smith,20.0,23,0,122,24,50,0.48,13,30,0.433,11,20,0.55,0.61,6,8,0.75,6,19,25,4,3,4,8,11,67,0,,smithty02,Milwaukee Bucks
355,MarJon Beauchamp,24.0,26,0,122,18,47,0.383,7,21,0.333,11,26,0.423,0.457,9,12,0.75,7,25,32,8,3,1,13,10,52,0,,beaucma01,Milwaukee Bucks
356,Chris Livingston,21.0,21,1,106,9,27,0.333,0,8,0.0,9,19,0.474,0.333,12,16,0.75,10,25,35,5,5,0,6,8,30,0,,livinch01,Milwaukee Bucks
357,Stanley Umude,25.0,22,0,86,5,26,0.192,3,15,0.2,2,11,0.182,0.25,2,4,0.5,4,13,17,4,3,6,3,8,15,0,,umudest01,Milwaukee Bucks
358,Pete Nance,24.0,6,1,70,9,17,0.529,5,12,0.417,4,5,0.8,0.676,0,0,,3,8,11,7,1,2,4,7,23,0,,nancepe01,Milwaukee Bucks
359,Jamaree Bouyea,25.0,5,1,62,6,12,0.5,1,5,0.2,5,7,0.714,0.542,4,6,0.667,1,4,5,10,4,2,8,2,17,0,,bouyeja01,Milwaukee Bucks
360,Liam Robbins,25.0,13,0,57,2,8,0.25,0,2,0.0,2,6,0.333,0.25,5,10,0.5,7,5,12,2,2,2,6,9,9,0,,robbili01,Milwaukee Bucks
361,AJ Johnson,20.0,7,0,44,8,19,0.421,3,5,0.6,5,14,0.357,0.5,1,2,0.5,0,7,7,7,1,0,4,0,20,0,,johnsaj01,Milwaukee Bucks
362,Team Totals,,82,82,19758,3445,7082,0.486,1161,3003,0.387,2284,4079,0.56,0.568,1421,1895,0.75,674,2882,3556,2090,601,384,1048,1469,9472,14,,-9999,Milwaukee Bucks
363,Shai Gilgeous-Alexander,26.0,76,76,2598,860,1656,0.519,163,435,0.375,697,1221,0.571,0.569,601,669,0.898,67,312,379,486,131,77,183,164,2484,0,MVP-1DPOY-10CPOY-8ASNBA1,gilgesh01,Oklahoma City Thunder
364,Jalen Williams,23.0,69,69,2237,565,1168,0.484,124,340,0.365,441,828,0.533,0.537,236,299,0.789,59,310,369,354,111,46,150,158,1490,0,ASNBA3DEF2,willija06,Oklahoma City Thunder
365,Luguentz Dort,25.0,71,71,2073,258,593,0.435,170,413,0.412,88,180,0.489,0.578,33,46,0.717,89,204,293,115,79,39,51,208,719,0,DPOY-4DEF1,dortlu01,Oklahoma City Thunder
366,Cason Wallace,21.0,68,43,1876,232,489,0.474,74,208,0.356,158,281,0.562,0.55,30,37,0.811,71,158,229,173,120,35,59,145,568,0,,wallaca01,Oklahoma City Thunder
367,Aaron Wiggins,26.0,76,26,1744,355,728,0.488,130,339,0.383,225,389,0.578,0.577,74,89,0.831,81,214,295,134,60,18,69,101,914,0,,wiggiaa01,Oklahoma City Thunder
368,Isaiah Joe,25.0,74,16,1604,259,588,0.44,192,466,0.412,67,122,0.549,0.604,46,56,0.821,41,155,196,119,48,9,38,113,756,0,,joeis01,Oklahoma City Thunder
369,Isaiah Hartenstein,26.0,57,53,1590,279,480,0.581,0,19,0.0,279,461,0.605,0.581,79,117,0.675,163,448,611,219,47,62,96,171,637,0,,harteis01,Oklahoma City Thunder
370,Kenrich Williams,30.0,69,7,1132,171,354,0.483,66,171,0.386,105,183,0.574,0.576,28,39,0.718,65,176,241,97,43,10,39,110,436,0,,willike04,Oklahoma City Thunder
371,Alex Caruso,30.0,54,3,1041,140,314,0.446,60,170,0.353,80,144,0.556,0.541,42,51,0.824,38,121,159,137,87,30,37,102,382,0,6MOY-8,carusal01,Oklahoma City Thunder
372,Chet Holmgren,22.0,32,32,877,167,341,0.49,44,116,0.379,123,225,0.547,0.554,101,134,0.754,48,209,257,63,23,71,56,72,479,0,,holmgch01,Oklahoma City Thunder
373,Jaylin Williams,22.0,47,9,784,97,221,0.439,61,153,0.399,36,68,0.529,0.577,23,30,0.767,48,214,262,120,22,29,35,79,278,3,,willija07,Oklahoma City Thunder
374,Ajay Mitchell,22.0,36,1,597,91,184,0.495,23,60,0.383,68,124,0.548,0.557,29,35,0.829,18,50,68,64,25,4,29,68,234,0,,mitchaj01,Oklahoma City Thunder
375,Dillon Jones,23.0,54,3,551,51,133,0.383,16,63,0.254,35,70,0.5,0.444,17,28,0.607,30,91,121,58,16,4,28,54,135,0,,jonesdi01,Oklahoma City Thunder
376,Ousmane Dieng,21.0,37,1,405,54,125,0.432,23,71,0.324,31,54,0.574,0.524,11,16,0.688,18,63,81,31,17,7,18,33,142,0,,diengou01,Oklahoma City Thunder
377,Branden Carlson,25.0,32,0,246,43,97,0.443,22,66,0.333,21,31,0.677,0.557,14,18,0.778,17,37,54,14,5,21,7,22,122,0,,carlsbr01,Oklahoma City Thunder
378,Adam Flagler,25.0,37,0,203,25,96,0.26,14,72,0.194,11,24,0.458,0.333,1,2,0.5,7,20,27,12,8,3,4,15,65,0,,flaglad01,Oklahoma City Thunder
379,Alex Ducas,24.0,21,0,125,12,30,0.4,10,21,0.476,2,9,0.222,0.567,2,2,1.0,9,17,26,5,5,0,4,12,36,0,,ducasal01,Oklahoma City Thunder
380,Malevy Leons,25.0,6,0,21,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,4,0.5,1,2,3,1,0,0,1,4,2,0,,leonsma01,Oklahoma City Thunder
381,Alex Reese,25.0,1,0,2,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,0,1,0,0,0,0,0,2,0,,reeseal01,Oklahoma City Thunder
382,Team Totals,,82,82,19706,3660,7600,0.482,1192,3184,0.374,2468,4416,0.559,0.56,1369,1672,0.819,871,2801,3672,2202,847,465,904,1631,9881,3,,-9999,Oklahoma City Thunder
383,Christian Braun,23.0,79,77,2675,476,821,0.58,89,224,0.397,387,597,0.648,0.634,177,214,0.827,98,312,410,205,85,37,81,170,1218,0,,braunch01,Denver Nuggets
384,Michael Porter Jr.,26.0,77,77,2593,528,1048,0.504,193,489,0.395,335,559,0.599,0.596,149,194,0.768,138,402,540,165,50,38,104,157,1398,0,,portemi01,Denver Nuggets
385,Nikola Jokić,29.0,70,70,2571,786,1364,0.576,138,331,0.417,648,1033,0.627,0.627,361,451,0.8,200,692,892,716,127,45,230,160,2071,34,MVP-2CPOY-2ASNBA1,jokicni01,Denver Nuggets
386,Jamal Murray,27.0,67,67,2418,531,1121,0.474,156,397,0.393,375,724,0.518,0.543,218,246,0.886,45,216,261,403,91,33,138,128,1436,0,,murraja01,Denver Nuggets
387,Russell Westbrook,36.0,75,36,2092,373,831,0.449,94,291,0.323,279,540,0.517,0.505,154,233,0.661,102,268,370,457,106,37,242,188,994,4,6MOY-7,westbru01,Denver Nuggets
388,Peyton Watson,22.0,68,18,1656,204,428,0.477,48,136,0.353,156,292,0.534,0.533,95,137,0.693,47,186,233,94,48,93,56,123,551,0,,watsope01,Denver Nuggets
389,Aaron Gordon,29.0,51,42,1447,264,497,0.531,75,172,0.436,189,325,0.582,0.607,145,179,0.81,80,167,247,164,23,14,73,82,748,0,,gordoaa01,Denver Nuggets
390,Julian Strawther,22.0,65,4,1384,210,486,0.432,94,269,0.349,116,217,0.535,0.529,74,90,0.822,17,125,142,83,39,16,57,151,588,0,,strawju01,Denver Nuggets
391,DeAndre Jordan,36.0,56,5,691,91,140,0.65,0,0,,91,140,0.65,0.65,27,64,0.422,84,200,284,53,16,27,40,74,209,0,,jordade01,Denver Nuggets
392,Jalen Pickett,25.0,49,4,666,77,180,0.428,40,101,0.396,37,79,0.468,0.539,6,8,0.75,15,56,71,107,19,5,24,38,200,1,,pickeja02,Denver Nuggets
393,Zeke Nnaji,24.0,57,4,608,70,141,0.496,17,52,0.327,53,89,0.596,0.557,27,44,0.614,33,57,90,23,25,38,14,62,184,0,,nnajize01,Denver Nuggets
394,Hunter Tyson,24.0,51,2,400,45,120,0.375,23,74,0.311,22,46,0.478,0.471,21,28,0.75,25,53,78,20,10,6,14,44,134,0,,tysonhu01,Denver Nuggets
395,Dario Šarić,30.0,16,4,210,21,58,0.362,7,26,0.269,14,32,0.438,0.422,7,10,0.7,14,36,50,23,7,1,15,19,56,0,,saricda01,Denver Nuggets
396,Vlatko Čančar,27.0,13,0,136,10,26,0.385,4,15,0.267,6,11,0.545,0.462,0,0,,6,26,32,9,3,2,11,10,24,0,,cancavl01,Denver Nuggets
397,Spencer Jones,23.0,20,0,125,11,34,0.324,1,17,0.059,10,17,0.588,0.338,3,3,1.0,8,9,17,5,5,5,5,17,26,0,,jonessp01,Denver Nuggets
398,Trey Alexander,21.0,24,0,117,13,41,0.317,3,17,0.176,10,24,0.417,0.354,3,4,0.75,1,11,12,11,2,1,5,10,32,0,,alexatr01,Denver Nuggets
399,PJ Hall,22.0,19,0,66,14,24,0.583,2,8,0.25,12,16,0.75,0.625,3,4,0.75,6,16,22,4,0,4,2,11,33,0,,hallpj01,Denver Nuggets
400,Team Totals,,82,82,19855,3724,7360,0.506,984,2619,0.376,2740,4741,0.578,0.573,1470,1909,0.77,919,2832,3751,2542,656,402,1111,1444,9902,39,,-9999,Denver Nuggets
401,Mikal Bridges,28.0,82,82,3036,592,1183,0.5,164,463,0.354,428,720,0.594,0.57,96,118,0.814,71,188,259,306,75,43,132,127,1444,0,,bridgmi01,New York Knicks
402,Josh Hart,29.0,77,77,2897,404,770,0.525,84,252,0.333,320,518,0.618,0.579,159,205,0.776,161,576,737,453,119,27,158,201,1051,9,,hartjo01,New York Knicks
403,OG Anunoby,27.0,74,74,2706,489,1027,0.476,171,460,0.372,318,567,0.561,0.559,183,226,0.81,97,261,358,164,110,65,102,172,1332,0,,anunoog01,New York Knicks
404,Karl-Anthony Towns,29.0,72,72,2517,639,1215,0.526,142,338,0.42,497,877,0.567,0.584,339,409,0.829,212,708,920,222,71,50,192,249,1759,1,ASNBA3,townska01,New York Knicks
405,Jalen Brunson,28.0,65,65,2301,585,1200,0.488,152,397,0.383,433,803,0.539,0.551,368,448,0.821,27,160,187,475,60,8,164,138,1690,0,MVP-10CPOY-1ASNBA2,brunsja01,New York Knicks
406,Miles McBride,24.0,64,10,1593,222,547,0.406,115,312,0.369,107,235,0.455,0.511,52,64,0.813,47,114,161,187,67,17,41,108,611,0,,mcbrimi01,New York Knicks
407,Precious Achiuwa,25.0,57,10,1170,164,327,0.502,10,36,0.278,154,291,0.529,0.517,41,69,0.594,101,216,317,55,47,42,45,81,379,0,,achiupr01,New York Knicks
408,Cameron Payne,30.0,72,5,1090,179,446,0.401,93,256,0.363,86,190,0.453,0.506,49,54,0.907,14,90,104,203,39,16,52,111,500,0,,payneca01,New York Knicks
409,Landry Shamet,27.0,50,0,762,106,230,0.461,62,156,0.397,44,74,0.595,0.596,12,18,0.667,11,50,61,27,23,2,22,52,286,0,,shamela01,New York Knicks
410,Jericho Sims,26.0,39,5,422,28,46,0.609,0,0,,28,46,0.609,0.609,8,13,0.615,51,78,129,22,8,10,21,46,64,0,,simsje01,New York Knicks
411,Tyler Kolek,23.0,41,0,296,27,82,0.329,14,47,0.298,13,35,0.371,0.415,13,17,0.765,8,19,27,70,12,4,18,26,81,0,,kolekty01,New York Knicks
412,Mitchell Robinson,26.0,17,3,290,37,56,0.661,0,0,,37,56,0.661,0.661,13,19,0.684,52,49,101,13,16,18,10,26,87,0,,robinmi01,New York Knicks
413,Delon Wright,32.0,14,5,230,23,49,0.469,8,24,0.333,15,25,0.6,0.551,6,9,0.667,12,8,20,29,12,3,8,8,60,0,,wrighde01,New York Knicks
414,Ariel Hukporti,22.0,25,1,217,21,31,0.677,0,0,,21,31,0.677,0.677,6,13,0.462,14,37,51,11,1,15,21,32,48,0,,hukpoar01,New York Knicks
415,Pacome Dadiet,19.0,18,0,111,10,31,0.323,6,19,0.316,4,12,0.333,0.419,4,6,0.667,3,15,18,5,3,2,4,7,30,0,,dadiepa01,New York Knicks
416,Matt Ryan,27.0,19,0,68,10,31,0.323,6,19,0.316,4,12,0.333,0.419,2,2,1.0,0,8,8,3,2,0,3,1,28,0,,ryanma01,New York Knicks
417,P.J. Tucker,39.0,3,1,58,3,7,0.429,3,6,0.5,0,1,0.0,0.643,0,0,,4,4,8,0,1,1,1,8,9,0,,tuckepj01,New York Knicks
418,Jacob Toppin,24.0,16,0,49,3,10,0.3,0,2,0.0,3,8,0.375,0.3,0,0,,2,9,11,4,2,0,2,3,6,0,,toppija01,New York Knicks
419,Kevin McCullar Jr.,23.0,4,0,29,2,7,0.286,0,1,0.0,2,6,0.333,0.286,2,2,1.0,0,8,8,2,1,1,0,6,6,0,,mcculke01,New York Knicks
420,Anton Watson,24.0,9,0,22,4,9,0.444,0,1,0.0,4,8,0.5,0.444,0,0,,1,2,3,2,1,0,2,3,8,0,,watsoan02,New York Knicks
421,MarJon Beauchamp,24.0,6,0,17,5,11,0.455,1,5,0.2,4,6,0.667,0.5,4,4,1.0,2,7,9,1,1,0,1,2,15,0,,beaucma01,New York Knicks
422,Team Totals,,82,82,19881,3553,7315,0.486,1031,2794,0.369,2522,4521,0.558,0.556,1357,1696,0.8,890,2607,3497,2254,671,324,999,1407,9494,10,,-9999,New York Knicks
423,Spencer Dinwiddie,31.0,79,30,2136,284,682,0.416,109,326,0.334,175,356,0.492,0.496,195,243,0.802,18,191,209,349,70,17,102,121,872,0,,dinwisp01,Dallas Mavericks
424,Klay Thompson,34.0,72,72,1965,361,877,0.412,216,553,0.391,145,324,0.448,0.535,67,74,0.905,44,202,246,145,50,30,88,81,1005,0,,thompkl01,Dallas Mavericks
425,Naji Marshall,27.0,69,31,1919,362,712,0.508,60,218,0.275,302,494,0.611,0.551,130,160,0.813,76,252,328,208,70,11,112,109,914,0,,marshna01,Dallas Mavericks
426,P.J. Washington,26.0,57,56,1835,301,665,0.453,91,239,0.381,210,426,0.493,0.521,143,198,0.722,82,360,442,131,63,60,118,131,836,0,,washipj01,Dallas Mavericks
427,Kyrie Irving,32.0,50,50,1804,447,945,0.473,144,359,0.401,303,586,0.517,0.549,196,214,0.916,60,180,240,231,66,23,111,101,1234,0,CPOY-10AS,irvinky01,Dallas Mavericks
428,Daniel Gafford,26.0,57,31,1226,283,403,0.702,0,0,,283,403,0.702,0.702,135,196,0.689,155,233,388,80,23,102,66,152,701,0,,gaffoda01,Dallas Mavericks
429,Quentin Grimes,24.0,47,12,1070,169,365,0.463,80,201,0.398,89,164,0.543,0.573,62,81,0.765,30,149,179,101,32,10,61,78,480,0,,grimequ01,Dallas Mavericks
430,Max Christie,21.0,32,11,973,124,302,0.411,55,151,0.364,69,151,0.457,0.502,56,65,0.862,13,122,135,80,29,10,49,42,359,0,,chrisma02,Dallas Mavericks
431,Jaden Hardy,22.0,57,3,907,180,414,0.435,76,197,0.386,104,217,0.479,0.527,60,86,0.698,9,80,89,81,28,5,82,90,496,0,,hardyja02,Dallas Mavericks
432,Dereck Lively II,20.0,36,29,833,134,191,0.702,0,0,,134,191,0.702,0.702,46,73,0.63,104,166,270,85,20,56,41,100,314,0,,livelde01,Dallas Mavericks
433,Luka Dončić,25.0,22,22,785,216,466,0.464,75,212,0.354,141,254,0.555,0.544,112,146,0.767,16,167,183,172,44,9,75,58,619,3,,doncilu01,Dallas Mavericks
