Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Team
73,Anthony Edwards,23.0,79,79,2871,721,1612,0.447,320,811,0.395,401,801,0.501,0.547,415,496,0.837,61,389,450,359,91,51,249,150,2177,0,MVP-7CPOY-3ASNBA2,edwaran01,Minnesota Timberwolves
74,Jaden McDaniels,24.0,82,82,2614,398,834,0.477,100,303,0.33,298,531,0.561,0.537,104,128,0.813,129,341,470,163,110,74,95,225,1000,0,,mcdanja02,Minnesota Timberwolves
75,Rudy Gobert,32.0,72,72,2388,341,510,0.669,0,0,,341,510,0.669,0.669,184,273,0.674,265,520,785,127,56,104,89,182,866,0,DPOY-13DEF2,goberru01,Minnesota Timberwolves
76,Julius Randle,30.0,69,69,2226,455,939,0.485,108,314,0.344,347,625,0.555,0.542,270,335,0.806,144,343,487,323,47,16,196,175,1288,0,,randlju01,Minnesota Timberwolves
77,Naz Reid,25.0,80,17,2200,426,923,0.462,175,462,0.379,251,461,0.544,0.556,111,143,0.776,92,388,480,181,58,72,108,189,1138,0,6MOY-5,reidna01,Minnesota Timberwolves
78,Nickeil Alexander-Walker,26.0,82,10,2073,270,616,0.438,141,370,0.381,129,246,0.524,0.553,92,118,0.78,54,211,265,223,50,34,99,139,773,0,6MOY-6,alexani01,Minnesota Timberwolves
79,Mike Conley,37.0,71,64,1756,187,468,0.4,127,310,0.41,60,158,0.38,0.535,81,90,0.9,32,150,182,319,79,14,75,111,582,0,,conlemi01,Minnesota Timberwolves
80,Donte DiVincenzo,28.0,62,10,1606,250,593,0.422,174,438,0.397,76,155,0.49,0.568,49,63,0.778,32,196,228,225,73,17,99,114,723,0,,divindo01,Minnesota Timberwolves
81,Jaylen Clark,23.0,40,4,522,56,120,0.467,22,51,0.431,34,69,0.493,0.558,29,37,0.784,26,27,53,26,36,2,8,61,163,0,,clarkja02,Minnesota Timberwolves
82,Rob Dillingham,20.0,49,1,516,93,211,0.441,25,74,0.338,68,137,0.496,0.5,8,15,0.533,12,38,50,98,20,1,53,37,219,0,,dilliro01,Minnesota Timberwolves
83,Terrence Shannon Jr.,24.0,32,1,339,55,114,0.482,11,31,0.355,44,83,0.53,0.531,17,21,0.81,10,37,47,32,7,5,15,27,138,0,,shannte01,Minnesota Timberwolves
84,Josh Minott,22.0,46,0,276,44,90,0.489,14,43,0.326,30,47,0.638,0.567,17,19,0.895,12,35,47,18,15,12,11,34,119,0,,minotjo01,Minnesota Timberwolves
85,Luka Garza,26.0,39,0,219,52,105,0.495,10,36,0.278,42,69,0.609,0.543,24,35,0.686,31,23,54,11,6,3,12,29,138,0,,garzalu01,Minnesota Timberwolves
