team,year,round,details
Chicago Bulls Future NBA Draft Picks,2028,Second,Own ; POR if POR has not conveyed 1st round pick to CHI by 2028 1 + 1
Chicago Bulls Future NBA Draft Picks,2029,First,Own 1
Chicago Bulls Future NBA Draft Picks,2029,Second,Own 1
Chicago Bulls Future NBA Draft Picks,2030,First,Own 1
Chicago Bulls Future NBA Draft Picks,2030,Second,Own 1
Chicago Bulls Future NBA Draft Picks,2031,First,Own 1
Chicago Bulls Future NBA Draft Picks,2031,Second,Own 1
Chicago Bulls Future NBA Draft Picks,2032,First,Own 1
Chicago Bulls Future NBA Draft Picks,2032,Second,Own 1
Cleveland Cavaliers Future NBA Draft Picks,2026,First,"Less favorable of (i) less favorable of (a) CLE and (b) more favorable of UTH 1-8 and MIN [or (i) CLE if UTH not conveyable] and (ii) less favorable of ATL and SAN then more favorable of (i) and (ii) to ATL; most / more favorable of CLE, MIN and UTH 1-8 to UTH (via UTH swap for MIN; via UTH swap of UTH or MIN for CLE; via SAN swap for ATL; via ATL swap of ATL or SAN for CLE, UTH or MIN) 1"
Cleveland Cavaliers Future NBA Draft Picks,2026,Second,Own 1
Cleveland Cavaliers Future NBA Draft Picks,2027,First,"Two most favorable of CLE, MIN and UTH to UTH then other to PHX (via CLE and MIN to UTH) 0"
Cleveland Cavaliers Future NBA Draft Picks,2027,Second,To MIN (via ATL) ; DEN 1
Cleveland Cavaliers Future NBA Draft Picks,2028,First,"Least favorable of CLE, UTH and ATL; more favorable of CLE and UTH to UTH; more favorable of (i) ATL and (ii) less favorable of CLE and UTH to ATL (via UTH swap for CLE; via ATL swap for CLE or UTH) 1"
Cleveland Cavaliers Future NBA Draft Picks,2028,Second,Own 1
Cleveland Cavaliers Future NBA Draft Picks,2029,First,"Most / two most favorable of CLE, MIN 6-30 and UTH to UTH then other to CHA (via CLE and MIN to UTH to PHX) 0"
Cleveland Cavaliers Future NBA Draft Picks,2029,Second,To ATL 0
Cleveland Cavaliers Future NBA Draft Picks,2030,First,Own 1
Cleveland Cavaliers Future NBA Draft Picks,2030,Second,To SAN 0
Cleveland Cavaliers Future NBA Draft Picks,2031,First,Own 1
Cleveland Cavaliers Future NBA Draft Picks,2031,Second,To BOS (via ATL) 0
Cleveland Cavaliers Future NBA Draft Picks,2032,First,Own 1
Cleveland Cavaliers Future NBA Draft Picks,2032,Second,Own 1
Dallas Mavericks Future NBA Draft Picks,2026,First,Own 1
Dallas Mavericks Future NBA Draft Picks,2026,Second,"Most favorable of DAL, OKC and PHL to OKC; second most favorable to PHX and least favorable to WAS (via OKC to HOU to PHX; via OKC to MIA to SAN to WAS) 0"
Dallas Mavericks Future NBA Draft Picks,2027,First,1-2 Own; 3-30 to CHA 1
Dallas Mavericks Future NBA Draft Picks,2027,Second,More favorable of DAL and BRK to WAS then other to DET (via DET to WAS; via DAL to BRK to DET) 0
Dallas Mavericks Future NBA Draft Picks,2028,First,Own or OKC (via OKC swap for DAL) 1
Dallas Mavericks Future NBA Draft Picks,2028,Second,To IND (via SAC) 0
Dallas Mavericks Future NBA Draft Picks,2029,First,"Two most favorable of DAL, HOU and PHX to HOU then other to BRK (via DAL and PHX to BRK; via DAL or PHX to HOU; via HOU swap for DAL or PHX) ; LAL 1"
Dallas Mavericks Future NBA Draft Picks,2029,Second,To BRK 0
Dallas Mavericks Future NBA Draft Picks,2030,First,Own or SAN (via SAN swap for DAL) ; less favorable of (i) MIN 2-30 and (ii) more favorable of DAL and SAN [or MIN if MIN not conveyable] to MIN then most / more favorable of all to SAN (via SAN swap for DAL; via SAN swap of SAN or DAL for MIN) 1
Dallas Mavericks Future NBA Draft Picks,2030,Second,To BRK (via BOS to MEM) ; PHL 1
Dallas Mavericks Future NBA Draft Picks,2031,First,Own 1
Dallas Mavericks Future NBA Draft Picks,2031,Second,To DET (via PHL) 0
Dallas Mavericks Future NBA Draft Picks,2032,First,Own 1
Dallas Mavericks Future NBA Draft Picks,2032,Second,Own 1
Denver Nuggets Future NBA Draft Picks,2026,First,Own 1
Denver Nuggets Future NBA Draft Picks,2026,Second,More favorable of DEN and GOS to CHA then other to MIN (via DEN to PHX to CHA; via GOS to ATL to OKC to NYK to CHA; via CHA to PHX to MIN) 0
Denver Nuggets Future NBA Draft Picks,2027,First,1-5 Own; 6-30 to OKC or to LAC [OKC can swap OKC or DEN for LAC] 1
Denver Nuggets Future NBA Draft Picks,2027,Second,To CLE 0
Denver Nuggets Future NBA Draft Picks,2028,First,1-5 Own; 6-30 to OKC if not already settled 1
Denver Nuggets Future NBA Draft Picks,2028,Second,31-33 Own; 34-60 to WAS (via SAN to SAC) 1
Denver Nuggets Future NBA Draft Picks,2029,First,1-5 Own; 6-30 to OKC if not already settled ; or 1-5 Own; 6-30 to OKC if DEN has conveyed a first potential 1st round pick to OKC by 2027 1
Denver Nuggets Future NBA Draft Picks,2029,Second,To OKC if DEN has not conveyed a first potential 1st round pick to OKC by 2029 or to CHA if DEN has conveyed a first potential 1st round pick to OKC by 2029 0
Denver Nuggets Future NBA Draft Picks,2030,First,1-5 Own; 6-30 to OKC if DEN has conveyed a first potential 1st round pick to OKC by 2028 1
Denver Nuggets Future NBA Draft Picks,2030,Second,To OKC (via CHA) 0
Denver Nuggets Future NBA Draft Picks,2031,First,Own 1
Denver Nuggets Future NBA Draft Picks,2031,Second,To CHA (via PHX) 0
Denver Nuggets Future NBA Draft Picks,2032,First,To BRK 0
Denver Nuggets Future NBA Draft Picks,2032,Second,Own 1
Detroit Pistons Future NBA Draft Picks,2026,First,Own 1
Detroit Pistons Future NBA Draft Picks,2026,Second,"Most favorable of DET, ORL and MIL to BOS; second most favorable to ORL and least favorable to NYK (via MIL to ORL; via DET to LAC to ORL; via ORL to PHX to BRK to NYK) ; CHA 56-60 (via NYK to ATL to SAN to SAC) 1"
Detroit Pistons Future NBA Draft Picks,2027,First,Own 1
Detroit Pistons Future NBA Draft Picks,2027,Second,Own ; Less favorable of BRK and DAL (via DAL to BRK to DET) ; MIL (via PHL) 3
Detroit Pistons Future NBA Draft Picks,2028,First,Own 1
Detroit Pistons Future NBA Draft Picks,2028,Second,31-55 Own * ; 56-60 to PHL ; Less favorable of CHA and LAC* (via CHA to DAL) ; MIA* if DAL conveys 1st round pick to CHA in 2027 (via SAN to DAL) ; NYK* *Least favorable of these to UTH 1 + 2
Detroit Pistons Future NBA Draft Picks,2029,First,Own 1
Detroit Pistons Future NBA Draft Picks,2029,Second,"Two most favorable of DET, MIL and NYK then other to SAC (via MIL to BRK to DET; via NYK to DET) 2"
Detroit Pistons Future NBA Draft Picks,2030,First,Own 1
Detroit Pistons Future NBA Draft Picks,2030,Second,Own ; MIN 2
Detroit Pistons Future NBA Draft Picks,2031,First,Own 1
Detroit Pistons Future NBA Draft Picks,2031,Second,Own ; DAL (via PHL) ; Less favorable of GOS and MIN (via MIN swap for GOS) 3
Detroit Pistons Future NBA Draft Picks,2032,First,Own 1
Detroit Pistons Future NBA Draft Picks,2032,Second,Own 1
Golden State Warriors Future NBA Draft Picks,2026,First,Own 1
Golden State Warriors Future NBA Draft Picks,2026,Second,More favorable of GOS and DEN to CHA then other to MIN (via GOS to ATL to OKC to NYK to CHA; via DEN to PHX to CHA; via CHA to PHX to MIN) 0
Golden State Warriors Future NBA Draft Picks,2027,First,Own 1
Golden State Warriors Future NBA Draft Picks,2027,Second,More favorable of GOS and PHX to PHL then other to WAS (via WAS) 0
